Kabupaten/Kota,LIT,LIT_INF,LIT_SAS,LIT_L1,LIT_L2,LIT_L3,NUM,NUM_ALJ,NUM_GEO,NUM_BIL,NUM_DAT,NUM_L1,NUM_L2,NUM_L3,Jumlah Sekolah SMA (Negeri),Jumlah Sekolah SMA (Swasta),Jumlah Sekolah SMA (Negeri+Swasta),Jumlah Guru SMA (Negeri),Jumlah Guru SMA (Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Murid SMA (Negeri),Jumlah Murid SMA (Swasta),Jumlah Murid SMA (Negeri+Swasta)
Bojonegoro,52.19852224622449,53.83660486255102,48.927460156632655,56.10576614173469,50.863221361632654,53.481091694795914,46.464382666122454,44.68171305396939,45.33320396193877,46.10376618532653,45.32145998969388,43.00790907062245,46.28237349285715,47.95277529602041,20,29,49,753,294,1047,13481,3559,17040
Bondowoso,60.416538536590906,61.51145441704546,57.32880002454545,62.3942066675,57.74555002500001,58.658611176363635,49.4863227375,48.77027021840909,47.73597252386364,50.475156951818185,50.80855647704546,47.288913248227274,48.99001134840909,51.357908950454544,10,19,29,351,178,529,4680,2662,7342
Gresik,63.23596403807692,64.64650245884614,59.68203966564102,64.8217512398718,61.69505761576924,61.31036520769231,50.41075005846154,48.05364602346154,48.801453673846154,50.80399087628205,50.38082935782052,48.35264601217949,50.147876925000006,50.82108841051282,12,40,52,609,614,1223,12460,7524,19984
Jember,49.64392968233334,50.905293259000004,45.11524645666667,53.73363667333333,47.94914648300001,49.46611648366666,43.859440320333334,39.2257133345,44.79349341466666,43.3315566269,44.84296978366667,42.29801621553334,46.226579729,43.982753243333335,18,44,62,786,573,1359,16959,9240,26199
Jombang,65.68314083900552,66.3305778062431,63.24064141171271,66.10311429596685,63.79876404651934,62.386901586464084,52.754220354640886,50.7086915959116,51.002488853867405,52.74224738845304,52.76343026309392,50.6027772130663,52.72566951469613,52.92460434928177,12,34,46,541,609,1150,9502,9217,18719
Kediri,71.73014702965517,71.39291493517241,71.12082988206896,71.05376665287356,69.59178850804598,67.17368040367816,55.12529414574713,54.19215742172414,52.18409300103449,55.38013440850574,55.14828721954023,52.77233331287356,55.38971490321839,54.973922962873566,14,13,27,699,143,842,14339,1855,16194
Kota Madiun,76.50670884288888,77.42161774577778,75.0804977348889,76.15108222933334,74.70246657911112,70.257311102,54.639373246888894,55.30246874777777,51.96846871044445,55.67291328222222,55.20615335088889,53.59471978444444,54.23929327311111,55.495099885777776,6,6,12,297,62,359,5245,258,5503
Kota Probolinggo,61.944150613731345,62.76272249746268,59.538196855522386,63.424785027164184,59.59293432119403,59.381448957611944,51.292767168208954,50.319935679850744,51.73315361283582,51.90731777537313,51.690856622835824,51.89238934283582,49.23265353955224,53.35536870477612,4,8,12,166,68,234,3479,1029,4508
Kota Surabaya,71.2357474696,71.66914742635,69.91212946825,70.79565950675,70.0621394542,66.66233296755,55.217544403949994,53.55304483105,51.6051554106,55.84433647035,54.84747034355,53.95062440075,54.6141703368,54.65076430995,22,118,140,1085,2286,3371,22758,33880,56638
Lamongan,54.595797274999995,54.24265659407895,52.808159274210524,57.31125262263158,53.71842884381579,55.113444599605266,49.59918434092105,48.92361047407895,49.47415898842105,50.094897237763156,50.27695115552632,47.552722218157896,50.33617371631579,51.48113937342106,13,57,70,729,733,1462,12126,7184,19310
Lumajang,58.713134707173914,59.03566298239131,56.13834440625,61.036063008902175,56.536974960869564,57.95754871927174,49.131508628152176,47.56796398531522,48.339683525434786,49.21667043804347,49.133320398804344,47.357603029021746,48.4737681597826,50.46692056918478,12,18,30,476,171,647,9390,1928,11318
Malang,66.80873940250001,67.14655256526315,65.15051306907894,67.39986643881579,65.6802505644079,63.785134873881574,53.06040248375,52.77416106434211,50.99858671980263,53.825906427302634,53.33567674776316,52.271867726644736,52.234684714013156,53.88293547078947,13,57,70,699,848,1547,12478,14350,26828
Nganjuk,63.14911272702127,64.05709555574468,60.42871056851064,64.55010206127659,60.95363807255319,60.50319353425532,51.26424623468085,53.87775522531914,52.703761609574464,54.36366807319149,54.90278286744681,52.84563399595744,55.129778608723406,55.30357226595745,14,13,27,717,182,899,12525,2351,14876
Pacitan,67.44778241070176,67.78118236122806,65.00577357789473,66.82192626719298,65.6462525863158,62.993675289649126,52.56761397631578,51.658075144403504,49.777582447719304,53.801778859473686,53.44790692508772,51.558640177017544,51.824775352280696,52.81035270740351,8,2,10,257,26,283,3564,118,3682
Pamekasan,49.855444048181816,51.338840134415584,45.928459644571426,54.687579156259744,47.07608292519481,52.074502461363636,39.43079237374026,38.600154461857144,40.3927207368961,40.05045300563636,40.18076466297403,38.559228444324674,40.78039983116883,42.04435819238961,9,68,77,417,642,1059,5523,7562,13085
Pasuruan,62.18562699016216,63.21736487386487,59.347308090918915,63.830099905297295,59.76360748994595,60.34922362172973,50.04626263951351,48.279329017183784,48.6127290287027,50.60600695432432,50.37065167372973,48.942524769470275,49.27673941210811,51.244700531810814,8,33,41,388,403,791,7467,6309,13776
Probolinggo,57.59161891603604,59.01532337927928,54.71866832666667,60.34892326954955,55.76692603900901,56.423357575045046,49.36474497936937,49.234088148288286,49.94744407738739,49.93843322594594,50.997203483693696,49.06138095423424,49.10343146108109,51.52884142342342,17,59,76,422,533,955,7746,7455,15201
Sampang,51.01723975821138,51.373679527601624,47.82283408313008,56.04263488471545,48.417934144634145,53.11522016113821,43.854560884390246,42.51011854334146,43.5307781646748,45.361637443983746,43.957562477073175,42.45468187764228,44.13510477113821,45.653023491788616,10,69,79,356,570,926,4517,7685,12202
Sidoarjo,62.05713561612403,61.502885228837215,61.21329766451163,63.717674401317836,60.474131796356595,60.401765689612404,50.5444977248062,49.840222313410855,50.053443372945736,51.377997465581394,51.438733120387596,50.03793636046512,50.60523320697675,51.995692176899226,13,57,70,703,1013,1716,14736,17924,32660
Situbondo,56.10441718517241,56.10441705086207,52.78191352303449,58.82335144896552,52.99459996862069,55.656051558965515,48.074075737586206,46.36683788551724,47.88438261,47.844144544827586,47.79241011068966,43.52718959786207,49.275465554482764,49.120261842758616,9,8,17,372,178,550,6367,4029,10396
Sumenep,55.18154494047619,56.34447617228572,51.29187830428571,59.17043809857143,51.41888786166667,54.709228343571425,47.207728419642855,45.85466398857143,46.346826017380955,47.0489665952619,47.858652461666665,45.949540240714285,47.81896162261904,48.85091408904763,12,72,84,536,629,1165,6615,7986,14601
Trenggalek,63.36489064395349,62.833776621627905,62.132085951395354,64.0588278411628,61.78705575465116,60.794609055348836,52.424718610930235,51.20742080069767,50.72282785860465,52.33555354720931,53.55672784627907,50.88177441302326,51.978892920465114,53.642016161395354,12,4,16,411,45,456,7286,422,7708
Tuban,51.57764985,52.219444787,46.54330959725,54.111489705,45.968194510000004,52.21191002100001,48.0686149995,47.135094695,48.2936598865,48.4937000945,47.7026748305,46.20991027535,46.376609917,50.810829982,20,16,36,637,148,785,10703,1232,11935
